n,W,V,instance,strategy,max_value,time,memory_kb
12,240,240,28,BT,754.0,0.0002665,3964.0
12,240,240,28,BB,754.0,4.589e-06,4088.0
12,240,240,28,DP,754.0,0.00141545,7088.0
12,240,240,29,BT,607.0,0.000291121,4060.0
12,240,240,29,BB,607.0,4.602e-06,4004.0
12,240,240,29,DP,607.0,0.00143528,6972.0
16,320,320,0,BT,941.0,0.00498763,4060.0
16,320,320,0,BB,941.0,1.1268e-05,4056.0
16,320,320,0,DP,941.0,0.00488664,10160.0
16,320,320,1,BT,745.0,0.003747,3976.0
16,320,320,1,BB,745.0,6.314e-06,4044.0
16,320,320,1,DP,745.0,0.00904852,10404.0
16,320,320,2,BT,691.0,0.00465521,3976.0
16,320,320,2,BB,691.0,7.468e-06,3980.0
16,320,320,2,DP,691.0,0.0033914,10220.0
16,320,320,3,BT,912.0,0.00458148,4028.0
16,320,320,3,BB,912.0,6.583e-06,4152.0
16,320,320,3,DP,912.0,0.00388089,10128.0
16,320,320,4,BT,810.0,0.00450383,4064.0
16,320,320,4,BB,810.0,8.381e-06,3988.0
16,320,320,4,DP,810.0,0.00397527,10200.0
16,320,320,5,BT,887.0,0.00454929,3972.0
16,320,320,5,BB,887.0,6.012e-06,3976.0
16,320,320,5,DP,887.0,0.00365018,10136.0
16,320,320,6,BT,792.0,0.00484659,4052.0
16,320,320,6,BB,792.0,5.636e-06,4036.0
16,320,320,6,DP,792.0,0.00399927,10152.0
16,320,320,7,BT,736.0,0.00463686,4064.0
16,320,320,7,BB,736.0,6.166e-06,3972.0
16,320,320,7,DP,736.0,0.00355219,10216.0
16,320,320,8,BT,642.0,0.00435705,4060.0
16,320,320,8,BB,642.0,5.902e-06,4000.0
16,320,320,8,DP,642.0,0.00333722,10124.0
16,320,320,9,BT,818.0,0.00434437,3972.0
16,320,320,9,BB,818.0,6.508e-06,4052.0
16,320,320,9,DP,818.0,0.00326411,10184.0
16,320,320,10,BT,755.0,0.00463237,3972.0
16,320,320,10,BB,755.0,1.0562e-05,4004.0
16,320,320,10,DP,755.0,0.00347907,10188.0
